City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Balabac,PH,7.9868,117.0645,79.86,82,94,22.28,moderate rain
149,Paraiso,CR,9.8383,-83.8656,72.46,73,80,4.27,broken clouds
150,Ilulissat,GL,69.2167,-51.1,12.22,79,75,19.57,light snow
151,Honningsvag,NO,70.9821,25.9704,20.21,87,100,39.21,light snow
152,Maldonado,UY,-34.6667,-54.9167,69.22,91,31,5.23,scattered clouds
153,Kavaratti,IN,10.5669,72.642,77.92,60,98,5.53,overcast clouds
154,Henties Bay,NA,-22.116,14.2845,65.86,82,94,4.54,overcast clouds
155,Lata,PT,40.1629,-8.3327,49.06,96,99,1.74,overcast clouds
156,Gardone Val Trompia,IT,45.6942,10.187,45.75,86,23,2.82,few clouds
157,Biak,ID,-0.9131,122.8766,77.09,81,97,2.53,overcast clouds
158,Zhuanghe,CN,39.7008,122.9911,12.6,66,0,8.86,clear sky
159,Touros,BR,-5.1989,-35.4608,81.5,71,12,13.96,few clouds
160,Chimbote,PE,-9.0853,-78.5783,72.95,76,16,10.94,few clouds
161,Tasiilaq,GL,65.6145,-37.6368,24.96,78,100,40.67,overcast clouds
162,Mount Gambier,AU,-37.8333,140.7667,66.11,59,40,17.27,scattered clouds
163,Flin Flon,CA,54.7682,-101.865,-13.16,64,75,4.61,broken clouds
164,Tagusao,PH,9.1924,117.8141,77.58,83,50,6.62,scattered clouds
165,Thompson,CA,55.7435,-97.8558,-14.64,70,20,5.75,few clouds
166,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,77,100,10.27,overcast clouds
167,Sorong,ID,-0.8833,131.25,82.31,77,100,12.68,overcast clouds
168,Jian,CN,27.1172,114.9793,42.06,81,100,3.76,overcast clouds
169,Kuminskiy,RU,58.6667,66.5667,24.06,97,100,3.31,light snow
170,Kodiak,US,57.79,-152.4072,36.91,81,100,0.0,overcast clouds
171,Hasaki,JP,35.7333,140.8333,37.8,40,45,25.01,scattered clouds
172,Lobito,AO,-12.3481,13.5456,74.59,75,82,5.93,broken clouds
